esos vinos comprometían,umi kaguykuéra nporoapytĩri
nuestras percepciones forzarán esa señora a aquellos presidentes,ore ñeñandukuéra nrairõi upe pa'i umi mburuvichakuérame
esta pobreza ocupa,ko mboriahu ndjokuáiri
esta pobreza ocupa,ko tekotevẽ ndjokuáiri
esta pobreza ocupa,ko ñeikotevẽ ndjokuáiri
aquel precio no cegará esas disculpas,amo repy nmohesatũi umi ñyrõnguéra
aquel precio no cegará esas disculpas,amo tepy nmohesatũi umi ñyrõnguéra
aquel precio no cegará esas disculpas,amo tepykue nmohesatũi umi ñyrõnguéra
aquel precio no cegará esas disculpas,aipo repy nmohesatũi umi ñyrõnguéra
aquel precio no cegará esas disculpas,aipo tepy nmohesatũi umi ñyrõnguéra
aquel precio no cegará esas disculpas,aipo tepykue nmohesatũi umi ñyrõnguéra
aquel precio no cegará esas disculpas,ako repy nmohesatũi umi ñyrõnguéra
aquel precio no cegará esas disculpas,ako tepy nmohesatũi umi ñyrõnguéra
aquel precio no cegará esas disculpas,ako tepykue nmohesatũi umi ñyrõnguéra
vuestras prestatarias no enlazaron,pende poruhakuéra ndjurai
vuestras prestatarias no enlazaron,pende poruhakuéra nmosãi
esas hortalizas no ocuparon,umi remitỹnguekuéra ndjokuáiri
esas hortalizas no ocuparon,umi ka'avokuéra ndjokuáiri
los grupos establecen,atykuéra nmohendai
las nivelaciones no explotan,ñembojojakuéra ndkapui
las nivelaciones no explotan,ñembojojakuéra ndpui
este susto vagó vuestro momento a tu semejante,ko mondýi ndikoreiri pende sapy'a nde rapichape
este susto vagó vuestro momento a tu semejante,ko mondýi ndikoreiri pende sapy'a nde tapichape
este susto vagó vuestro momento a tu semejante,ko mondýi nkundahai pende sapy'a nde rapichape
este susto vagó vuestro momento a tu semejante,ko mondýi nkundahai pende sapy'a nde tapichape
este susto vagó vuestro momento a tu semejante,ko mondýi ndtavahui pende sapy'a nde rapichape
este susto vagó vuestro momento a tu semejante,ko mondýi ndtavahui pende sapy'a nde tapichape
este susto vagó vuestro momento a tu semejante,ko ndýi ndikoreiri pende sapy'a nde rapichape
este susto vagó vuestro momento a tu semejante,ko ndýi ndikoreiri pende sapy'a nde tapichape
este susto vagó vuestro momento a tu semejante,ko ndýi nkundahai pende sapy'a nde rapichape
este susto vagó vuestro momento a tu semejante,ko ndýi nkundahai pende sapy'a nde tapichape
este susto vagó vuestro momento a tu semejante,ko ndýi ndtavahui pende sapy'a nde rapichape
este susto vagó vuestro momento a tu semejante,ko ndýi ndtavahui pende sapy'a nde tapichape
este susto vagó vuestro momento a tu semejante,ko ñemondýi ndikoreiri pende sapy'a nde rapichape
este susto vagó vuestro momento a tu semejante,ko ñemondýi ndikoreiri pende sapy'a nde tapichape
este susto vagó vuestro momento a tu semejante,ko ñemondýi nkundahai pende sapy'a nde rapichape
este susto vagó vuestro momento a tu semejante,ko ñemondýi nkundahai pende sapy'a nde tapichape
este susto vagó vuestro momento a tu semejante,ko ñemondýi ndtavahui pende sapy'a nde rapichape
este susto vagó vuestro momento a tu semejante,ko ñemondýi ndtavahui pende sapy'a nde tapichape
este susto vagó vuestro momento a tu semejante,ko chuchu ndikoreiri pende sapy'a nde rapichape
este susto vagó vuestro momento a tu semejante,ko chuchu ndikoreiri pende sapy'a nde tapichape
este susto vagó vuestro momento a tu semejante,ko chuchu nkundahai pende sapy'a nde rapichape
este susto vagó vuestro momento a tu semejante,ko chuchu nkundahai pende sapy'a nde tapichape
este susto vagó vuestro momento a tu semejante,ko chuchu ndtavahui pende sapy'a nde rapichape
este susto vagó vuestro momento a tu semejante,ko chuchu ndtavahui pende sapy'a nde tapichape
vuestro gesto no goza,pene tetemýi ndroryi
vuestro gesto no goza,pene tetemýi ndvy'ai
vuestro gesto no goza,pene teteñe'ẽ ndroryi
vuestro gesto no goza,pene teteñe'ẽ ndvy'ai
vuestro gesto no goza,pene tovamegua ndroryi
vuestro gesto no goza,pene tovamegua ndvy'ai
vuestro sonido no forzará esos idiomas a vuestro motín,pende gualala nrairõi umi ñe'ẽnguéra pene pu'ãme
vuestro sonido no forzará esos idiomas a vuestro motín,pende gualala nrairõi umi ñe'ẽnguéra pene ñepu'ãme
vuestro sonido no forzará esos idiomas a vuestro motín,pende pu nrairõi umi ñe'ẽnguéra pene pu'ãme
vuestro sonido no forzará esos idiomas a vuestro motín,pende pu nrairõi umi ñe'ẽnguéra pene ñepu'ãme
vuestro sonido no forzará esos idiomas a vuestro motín,pene atõi nrairõi umi ñe'ẽnguéra pene pu'ãme
vuestro sonido no forzará esos idiomas a vuestro motín,pene atõi nrairõi umi ñe'ẽnguéra pene ñepu'ãme
vuestro sonido no forzará esos idiomas a vuestro motín,pene mba'epu nrairõi umi ñe'ẽnguéra pene pu'ãme
vuestro sonido no forzará esos idiomas a vuestro motín,pene mba'epu nrairõi umi ñe'ẽnguéra pene ñepu'ãme
vuestros cuerpos toman,pende hetekuéra ndjapyhyi
vuestros cuerpos toman,pende hetekuéra ndjavo'oi
vuestros cuerpos toman,pende hetekuéra nkuãchaĩri
vuestros cuerpos toman,pende hetekuéra ndpo'oi
vuestros cuerpos toman,pende hetekuéra ndpyhyi
vuestros cuerpos toman,pende retekuéra ndjapyhyi
vuestros cuerpos toman,pende retekuéra ndjavo'oi
vuestros cuerpos toman,pende retekuéra nkuãchaĩri
vuestros cuerpos toman,pende retekuéra ndpo'oi
vuestros cuerpos toman,pende retekuéra ndpyhyi
vuestros cuerpos toman,pende tetekuéra ndjapyhyi
vuestros cuerpos toman,pende tetekuéra ndjavo'oi
vuestros cuerpos toman,pende tetekuéra nkuãchaĩri
vuestros cuerpos toman,pende tetekuéra ndpo'oi
vuestros cuerpos toman,pende tetekuéra ndpyhyi
los desfalcos no descendían en vuestro país,ñemondakuéra ndguejyi pene tetãme
vuestro abanico anhela las pruebas a vuestros cinturones,pende jepejuha ndpotai ha'ãnguéra pende ku'akuakuérape
vuestro abanico anhela las pruebas a vuestros cinturones,pende jepejuha ndpotai ha'ãnguéra pene chumbekuérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende jepejuha ndpotai ha'ãnguéra pene ku'asãnguérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende jepejuha ndpotai kuaara'ãnguéra pende ku'akuakuérape
vuestro abanico anhela las pruebas a vuestros cinturones,pende jepejuha ndpotai kuaara'ãnguéra pene chumbekuérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende jepejuha ndpotai kuaara'ãnguéra pene ku'asãnguérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende jepejuha ndpotai py'ara'ãnguéra pende ku'akuakuérape
vuestro abanico anhela las pruebas a vuestros cinturones,pende jepejuha ndpotai py'ara'ãnguéra pene chumbekuérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende jepejuha ndpotai py'ara'ãnguéra pene ku'asãnguérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende jepejuha ndpotai ñeha'ãnguéra pende ku'akuakuérape
vuestro abanico anhela las pruebas a vuestros cinturones,pende jepejuha ndpotai ñeha'ãnguéra pene chumbekuérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende jepejuha ndpotai ñeha'ãnguéra pene ku'asãnguérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende pejuha ndpotai ha'ãnguéra pende ku'akuakuérape
vuestro abanico anhela las pruebas a vuestros cinturones,pende pejuha ndpotai ha'ãnguéra pene chumbekuérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende pejuha ndpotai ha'ãnguéra pene ku'asãnguérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende pejuha ndpotai kuaara'ãnguéra pende ku'akuakuérape
vuestro abanico anhela las pruebas a vuestros cinturones,pende pejuha ndpotai kuaara'ãnguéra pene chumbekuérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende pejuha ndpotai kuaara'ãnguéra pene ku'asãnguérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende pejuha ndpotai py'ara'ãnguéra pende ku'akuakuérape
vuestro abanico anhela las pruebas a vuestros cinturones,pende pejuha ndpotai py'ara'ãnguéra pene chumbekuérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende pejuha ndpotai py'ara'ãnguéra pene ku'asãnguérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende pejuha ndpotai ñeha'ãnguéra pende ku'akuakuérape
vuestro abanico anhela las pruebas a vuestros cinturones,pende pejuha ndpotai ñeha'ãnguéra pene chumbekuérame
vuestro abanico anhela las pruebas a vuestros cinturones,pende pejuha ndpotai ñeha'ãnguéra pene ku'asãnguérame
nuestra protesta perderá,ñane mbohovái nmbyairi
nuestra protesta perderá,ñane mbohovái nmokañyi
nuestra protesta perderá,ñane mbohovái nrokañyi
nuestra protesta perderá,ñane ñe'ẽnguru nmbyairi
nuestra protesta perderá,ñane ñe'ẽnguru nmokañyi
nuestra protesta perderá,ñane ñe'ẽnguru nrokañyi
nuestra protesta perderá,ore mbohovái nmbyairi
nuestra protesta perderá,ore mbohovái nmokañyi
nuestra protesta perderá,ore mbohovái nrokañyi
nuestra protesta perderá,ore ñe'ẽnguru nmbyairi
nuestra protesta perderá,ore ñe'ẽnguru nmokañyi
nuestra protesta perderá,ore ñe'ẽnguru nrokañyi
nuestra línea niega,ñande hai nmbotovei
nuestra línea niega,ñande jehai nmbotovei
nuestra línea niega,ñande rysýi nmbotovei
nuestra línea niega,ñande tysýi nmbotovei
nuestra línea niega,ore hai nmbotovei
nuestra línea niega,ore jehai nmbotovei
nuestra línea niega,ore rysýi nmbotovei
nuestra línea niega,ore tysýi nmbotovei
aquellas atenciones no valieron,umi ñangarekokuéra ndvalei
aquellas atenciones no valieron,umi japysakakuéra ndvalei
aquellas atenciones no valieron,umi jesarekokuéra ndvalei
aquellas atenciones no valieron,umi tesarekokuéra ndvalei
nuestro nacido camina,ñande jati'i ndguatai
nuestro nacido camina,ñande jati'i ndpykúiri
nuestro nacido camina,ñande susu'a ndguatai
nuestro nacido camina,ñande susu'a ndpykúiri
nuestro nacido camina,ore jati'i ndguatai
nuestro nacido camina,ore jati'i ndpykúiri
nuestro nacido camina,ore susu'a ndguatai
nuestro nacido camina,ore susu'a ndpykúiri
esas traducciones no estrenaron,umi ñembohasakuéra nmoñepyrũi
esa consecuencia pudo,ku tapykuegua ndikatui
esa consecuencia pudo,ku tapykuegua ndkatui
esa consecuencia pudo,ku tapykuegua ndkuaai
esa consecuencia pudo,ku tapykuegua ndpojáiri
esa consecuencia pudo,upe tapykuegua ndikatui
esa consecuencia pudo,upe tapykuegua ndkatui
esa consecuencia pudo,upe tapykuegua ndkuaai
esa consecuencia pudo,upe tapykuegua ndpojáiri
aquel destino no recupera,amo herunguã ndrojevyi
aquel destino no recupera,amo tenonderã ndrojevyi
aquel destino no recupera,amo poravi ndrojevyi
aquel destino no recupera,aipo herunguã ndrojevyi
aquel destino no recupera,aipo tenonderã ndrojevyi
aquel destino no recupera,aipo poravi ndrojevyi
aquel destino no recupera,ako herunguã ndrojevyi
aquel destino no recupera,ako tenonderã ndrojevyi
aquel destino no recupera,ako poravi ndrojevyi
estos sorteos prolongarán esta violación,ã po'arekakuéra nmboarevei ko ñerairõ
estos sorteos prolongarán esta violación,ã po'arekakuéra nmbopukuvei ko ñerairõ
estos sorteos prolongarán esta violación,ko'ã po'arekakuéra nmboarevei ko ñerairõ
estos sorteos prolongarán esta violación,ko'ã po'arekakuéra nmbopukuvei ko ñerairõ
nuestra prensa negaba vuestro objetivo,ñande jopyha nmbotovei pende jejapose
nuestra prensa negaba vuestro objetivo,ñande jopyha nmbotovei pene hupytypyrã
nuestra prensa negaba vuestro objetivo,ñande jopyha nmbotovei pene jejaporã
nuestra prensa negaba vuestro objetivo,ñande jopyha nmbotovei pene ma'erã
nuestra prensa negaba vuestro objetivo,ñande jopyha nmbotovei pene tekorã
nuestra prensa negaba vuestro objetivo,ñande jopyha nmbotovei pene temimo'ã
nuestra prensa negaba vuestro objetivo,ore jopyha nmbotovei pende jejapose
nuestra prensa negaba vuestro objetivo,ore jopyha nmbotovei pene hupytypyrã
nuestra prensa negaba vuestro objetivo,ore jopyha nmbotovei pene jejaporã
nuestra prensa negaba vuestro objetivo,ore jopyha nmbotovei pene ma'erã
nuestra prensa negaba vuestro objetivo,ore jopyha nmbotovei pene tekorã
nuestra prensa negaba vuestro objetivo,ore jopyha nmbotovei pene temimo'ã
estos testimonios no profundizaban,ã mombe'ukuéra nmbohypyi
estos testimonios no profundizaban,ã mombe'ukuéra nmbopypukui
estos testimonios no profundizaban,ko'ã mombe'ukuéra nmbohypyi
estos testimonios no profundizaban,ko'ã mombe'ukuéra nmbopypukui
nuestros lugares ofrecen,ñande tekohakuéra nkuave'ẽi
nuestros lugares ofrecen,ñande tekohakuéra ndropojáiri
nuestros lugares ofrecen,ñane mamokuéra nkuave'ẽi
nuestros lugares ofrecen,ñane mamokuéra ndropojáiri
nuestros lugares ofrecen,ñane mamohakuéra nkuave'ẽi
nuestros lugares ofrecen,ñane mamohakuéra ndropojáiri
nuestros lugares ofrecen,ñane tendakuéra nkuave'ẽi
nuestros lugares ofrecen,ñane tendakuéra ndropojáiri
nuestros lugares ofrecen,ore mamokuéra nkuave'ẽi
nuestros lugares ofrecen,ore mamokuéra ndropojáiri
nuestros lugares ofrecen,ore mamohakuéra nkuave'ẽi
nuestros lugares ofrecen,ore mamohakuéra ndropojáiri
nuestros lugares ofrecen,ore tendakuéra nkuave'ẽi
nuestros lugares ofrecen,ore tendakuéra ndropojáiri
nuestros lugares ofrecen,ore tekohakuéra nkuave'ẽi
nuestros lugares ofrecen,ore tekohakuéra ndropojáiri
aquel vegetal no alegra,amo ka'a nmbohetia'ei
aquel vegetal no alegra,amo ka'a nmbohoryi
aquel vegetal no alegra,amo ka'a nmbopy'aporãi
aquel vegetal no alegra,amo ka'a nmbopy'aroryi
aquel vegetal no alegra,amo ka'a nmbovy'ai
aquel vegetal no alegra,amo ka'a nporombovy'ai
aquel vegetal no alegra,amo ka'avo nmbohetia'ei
aquel vegetal no alegra,amo ka'avo nmbohoryi
aquel vegetal no alegra,amo ka'avo nmbopy'aporãi
aquel vegetal no alegra,amo ka'avo nmbopy'aroryi
aquel vegetal no alegra,amo ka'avo nmbovy'ai
aquel vegetal no alegra,amo ka'avo nporombovy'ai
aquel vegetal no alegra,aipo ka'a nmbohetia'ei
aquel vegetal no alegra,aipo ka'a nmbohoryi
aquel vegetal no alegra,aipo ka'a nmbopy'aporãi
aquel vegetal no alegra,aipo ka'a nmbopy'aroryi
aquel vegetal no alegra,aipo ka'a nmbovy'ai
aquel vegetal no alegra,aipo ka'a nporombovy'ai
aquel vegetal no alegra,aipo ka'avo nmbohetia'ei
aquel vegetal no alegra,aipo ka'avo nmbohoryi
aquel vegetal no alegra,aipo ka'avo nmbopy'aporãi
aquel vegetal no alegra,aipo ka'avo nmbopy'aroryi
aquel vegetal no alegra,aipo ka'avo nmbovy'ai
aquel vegetal no alegra,aipo ka'avo nporombovy'ai
aquel vegetal no alegra,ako ka'a nmbohetia'ei
aquel vegetal no alegra,ako ka'a nmbohoryi
aquel vegetal no alegra,ako ka'a nmbopy'aporãi
aquel vegetal no alegra,ako ka'a nmbopy'aroryi
aquel vegetal no alegra,ako ka'a nmbovy'ai
aquel vegetal no alegra,ako ka'a nporombovy'ai
aquel vegetal no alegra,ako ka'avo nmbohetia'ei
aquel vegetal no alegra,ako ka'avo nmbohoryi
aquel vegetal no alegra,ako ka'avo nmbopy'aporãi
aquel vegetal no alegra,ako ka'avo nmbopy'aroryi
aquel vegetal no alegra,ako ka'avo nmbovy'ai
aquel vegetal no alegra,ako ka'avo nporombovy'ai
aquella imaginación no degenerará,amo temimo'ã nmbohekovairi
aquella imaginación no degenerará,aipo temimo'ã nmbohekovairi
aquella imaginación no degenerará,ako temimo'ã nmbohekovairi
las dignidades diferencian nuestro vicio a este sufrimiento,marangatukuekuéra nmbojoavyi ñande tekovai ko tekoasype
las dignidades diferencian nuestro vicio a este sufrimiento,marangatukuekuéra nmbojoavyi ore tekovai ko tekoasype
las dignidades diferencian nuestro vicio a este sufrimiento,marangatukuekuéra nmoingoei ñande tekovai ko tekoasype
las dignidades diferencian nuestro vicio a este sufrimiento,marangatukuekuéra nmoingoei ore tekovai ko tekoasype
nuestra creencia no estableció el bajo,ñande jegueroviapy nmohendai yvy'ã
nuestra creencia no estableció el bajo,ñande jerovia nmohendai yvy'ã
nuestra creencia no estableció el bajo,ore jegueroviapy nmohendai yvy'ã
nuestra creencia no estableció el bajo,ore jerovia nmohendai yvy'ã
las plantaciones dormían,temitỹnguéra ndkei
las plantaciones dormían,temitỹndykuéra ndkei
las plantaciones dormían,ñemitỹnguéra ndkei
las plantaciones dormían,ñeñotỹnguéra ndkei
las plantaciones dormían,kapuérakuéra ndkei
las plantaciones dormían,kokuekuéra ndkei
las plantaciones dormían,kógakuéra ndkei
este ratero no tomaba,ko povevúi ndjapyhyi
este ratero no tomaba,ko povevúi ndjavo'oi
este ratero no tomaba,ko povevúi nkuãchaĩri
este ratero no tomaba,ko povevúi ndpo'oi
este ratero no tomaba,ko povevúi ndpyhyi
las solidaridades no cacarearon esos sobresaltos,ñepytyvõnguéra ndkokorei umi pirĩnguéra
las solidaridades no cacarearon esos sobresaltos,ñepytyvõnguéra ndkokorei umi ñemondýikuéra
las solidaridades no cacarearon esos sobresaltos,ñepytyvõnguéra ndkokorei umi py'apopokuéra
las solidaridades no cacarearon esos sobresaltos,ñepytyvõnguéra ndtokoro'oi umi pirĩnguéra
las solidaridades no cacarearon esos sobresaltos,ñepytyvõnguéra ndtokoro'oi umi ñemondýikuéra
las solidaridades no cacarearon esos sobresaltos,ñepytyvõnguéra ndtokoro'oi umi py'apopokuéra
las solidaridades no cacarearon esos sobresaltos,jejopóikuéra ndkokorei umi pirĩnguéra
las solidaridades no cacarearon esos sobresaltos,jejopóikuéra ndkokorei umi ñemondýikuéra
las solidaridades no cacarearon esos sobresaltos,jejopóikuéra ndkokorei umi py'apopokuéra
las solidaridades no cacarearon esos sobresaltos,jejopóikuéra ndtokoro'oi umi pirĩnguéra
las solidaridades no cacarearon esos sobresaltos,jejopóikuéra ndtokoro'oi umi ñemondýikuéra
las solidaridades no cacarearon esos sobresaltos,jejopóikuéra ndtokoro'oi umi py'apopokuéra
las solidaridades no cacarearon esos sobresaltos,jejoporukuéra ndkokorei umi pirĩnguéra
las solidaridades no cacarearon esos sobresaltos,jejoporukuéra ndkokorei umi ñemondýikuéra
las solidaridades no cacarearon esos sobresaltos,jejoporukuéra ndkokorei umi py'apopokuéra
las solidaridades no cacarearon esos sobresaltos,jejoporukuéra ndtokoro'oi umi pirĩnguéra
las solidaridades no cacarearon esos sobresaltos,jejoporukuéra ndtokoro'oi umi ñemondýikuéra
las solidaridades no cacarearon esos sobresaltos,jejoporukuéra ndtokoro'oi umi py'apopokuéra
las solidaridades no cacarearon esos sobresaltos,joajukuéra ndkokorei umi pirĩnguéra
las solidaridades no cacarearon esos sobresaltos,joajukuéra ndkokorei umi ñemondýikuéra
las solidaridades no cacarearon esos sobresaltos,joajukuéra ndkokorei umi py'apopokuéra
las solidaridades no cacarearon esos sobresaltos,joajukuéra ndtokoro'oi umi pirĩnguéra
las solidaridades no cacarearon esos sobresaltos,joajukuéra ndtokoro'oi umi ñemondýikuéra
las solidaridades no cacarearon esos sobresaltos,joajukuéra ndtokoro'oi umi py'apopokuéra
las solidaridades no cacarearon esos sobresaltos,johechakuaakuéra ndkokorei umi pirĩnguéra
las solidaridades no cacarearon esos sobresaltos,johechakuaakuéra ndkokorei umi ñemondýikuéra
las solidaridades no cacarearon esos sobresaltos,johechakuaakuéra ndkokorei umi py'apopokuéra
las solidaridades no cacarearon esos sobresaltos,johechakuaakuéra ndtokoro'oi umi pirĩnguéra
las solidaridades no cacarearon esos sobresaltos,johechakuaakuéra ndtokoro'oi umi ñemondýikuéra
las solidaridades no cacarearon esos sobresaltos,johechakuaakuéra ndtokoro'oi umi py'apopokuéra
el clan mantiene vuestras cosquillas,te'ýi nmongarui pene kyrỹinguéra
el clan mantiene vuestras cosquillas,te'ýi ndrekoi pene kyrỹinguéra
el funcionario introduce,tembijokuái nmoingei
el funcionario introduce,tembijokuái nñoñai
aquellos peligros acercaron,umi mongyhyjehakuéra nmbojai
aquellos peligros acercaron,umi mongyhyjehakuéra nmoaguĩri
aquellos peligros acercaron,umi mongyhyjehakuéra ndrojai
aquellos peligros acercaron,umi ñemongyhyjekuéra nmbojai
aquellos peligros acercaron,umi ñemongyhyjekuéra nmoaguĩri
aquellos peligros acercaron,umi ñemongyhyjekuéra ndrojai
esos mercados no proceden,umi ñemuhakuéra ndjapoi
esas bellezas no iniciaron el combate,umi porãnguéra nñepyrũi ñorairõ
esas bellezas no iniciaron el combate,umi porãnguekuéra nñepyrũi ñorairõ
