"type_searchedVerb","type_selection3"
"transmitir","1. tr. Trasladar, transferir."
"transparentar","1. tr. Dicho de un cuerpo: Permitir que se vea o perciba algo a través de él."
"transpirar","1. intr. Dicho del cuerpo: Exudar a través del tegumento. U. t. c. prnl."
"transportar","1. tr. Llevar a alguien o algo de un lugar a otro."
"transvasar",""
"traquetear","1. tr. Mover o agitar algo de una parte a otra. U. especialmente hablando de los líquidos."
"trascender","1. intr. Exhalar olor tan vivo y subido, que penetra y se extiende a gran distancia."
"trasladar","1. tr. Llevar a alguien o algo de un lugar a otro. U. t. c. prnl."
"trasnochar","1. intr. Dicho de una persona: Pasar la noche, o gran parte de ella, velando o sin dormir."
"traspasar","1. tr. Pasar o llevar algo de un sitio a otro."
"trasplantar","1. tr. Trasladar plantas del sitio en que están arraigadas y plantarlas en otro."
"trasquilar","1. tr. Cortar el pelo a trechos, sin orden ni arte. U. t. c. prnl."
"trastabillar","1. intr. Dar traspiés o tropezones."
"trastornar","1. tr. Invertir el orden regular de algo."
"trasudar","1. tr. Exhalar o echar de sí trasudor."
"tratar","1. tr. Manejar algo y usarlo materialmente."
"trenzar","1. tr. Hacer trenzas."
"trepar","1. intr. Subir a un lugar alto o poco accesible valiéndose y ayudándose de los pies y las manos. U. t. c. tr."
"trinchar","1. tr. Partir en trozos la comida para servirla."
"triturar","1. tr. Moler o desmenuzar una materia sólida, sin reducirla enteramente a polvo."
"triunfar","1. intr. Quedar victorioso."
"trocar","1. m. Med. Instrumento de cirugía que consiste en un punzón revestido de una cánula."
"tronar","1. intr. impers. Haber o sonar truenos."
"tronchar","1. tr. Partir o romper sin herramienta un vegetal por su tronco, tallo o ramas principales. El viento tronchó el árbol. U. t. c. prnl."
"trotar","1. intr. Dicho de un caballo: Ir al trote."
"trozar","1. tr. romper (‖ quebrar)."
"tullir","1. intr. Cineg. Dicho de un ave de rapiña: Arrojar el excremento."
"tumbar","1. tr. Hacer caer o derribar a alguien o algo."
"ubicar","1. tr. Situar o instalar en determinado espacio o lugar."
"ulcerar","1. tr. Causar úlcera. U. t. c. prnl."
"ultimar","1. tr. Dar fin a algo, acabarlo, concluirlo."
"ultrajar","1. tr. Ajar o injuriar."
"uncir","1. tr. Atar o sujetar al yugo bueyes, mulas u otras bestias."
"ungir","1. tr. Aplicar a alguien o algo aceite u otra materia pingüe, extendiéndola superficialmente."
"unificar","1. tr. Hacer de muchas cosas una o un todo, uniéndolas, mezclándolas o reduciéndolas a una misma especie. U. t. c. prnl."
"uniformar","1. tr. Hacer uniformes dos o más cosas. U. t. c. prnl."
"unir","1. tr. Hacer que una cosa esté al lado de otra, o en contacto con ella formando un todo."
"universalizar","1. tr. Hacer universal algo, generalizarlo mucho."
"untar","1. tr. Aplicar y extender superficialmente aceite u otra materia pingüe sobre algo."
"urdir","1. tr. Preparar los hilos en la urdidera para pasarlos al telar."
"urgir","1. tr. Pedir o exigir algo con urgencia o apremio. Los vecinos urgían la construcción de un parque."
"usar","1. tr. Hacer servir una cosa para algo. U. t. c. intr."
"usufructuar","1. tr. Der. Tener o gozar el usufructo de una cosa."
"usurpar","1. tr. Apoderarse de una propiedad o de un derecho que legítimamente pertenece a otro, por lo general con violencia."
"utilizar","1. tr. Hacer que algo sirva para un fin."
"vaciar","1. tr. Dejar vacío algo. Vaciar una botella. Vaciar el bolsillo. U. t. c. prnl."
"vacilar","1. intr. Dicho de una persona o de una cosa: Moverse de manera indeterminada o inestable."
"vadear","1. tr. Pasar un río u otra corriente de agua profunda por el vado o por cualquier otro sitio donde se pueda hacer pie."
"vagabundear","1. intr. Andar vagabundo."
"vagar","1. intr. Tener tiempo y lugar suficiente o necesario para hacer algo."
"valer","1. tr. Amparar, proteger, patrocinar."
"valorar","1. tr. Señalar el precio de algo."
"vaporizar","1. tr. Convertir un líquido en vapor, por la acción del calor. U. t. c. prnl."
"vapulear","1. tr. Zarandear de un lado a otro a alguien o algo."
"variar","1. tr. Hacer que una cosa sea diferente en algo de lo que antes era."
"vaticinar","1. tr. Pronosticar, adivinar, profetizar."
"vegetar","1. intr. Dicho de una planta: Germinar, nutrirse, crecer y aumentarse. U. t. c. prnl."
"vejar","1. tr. Maltratar, molestar, perseguir a alguien, perjudicarle o hacerle padecer."
"velar","1. tr. Hacer centinela o guardia por la noche."
"vencer","1. tr. Sujetar, derrotar o rendir al enemigo."
"vendar","1. tr. Atar, ligar o cubrir con una venda."
"vender","1. tr. Traspasar a alguien por el precio convenido la propiedad de lo que se posee."
"venerar","1. tr. Respetar en sumo grado a alguien por su santidad, dignidad o grandes virtudes, o a algo por lo que representa o recuerda."
"venir","1. intr. Dicho de una persona: caminar1."
"ventilar","1. tr. Penetrar el aire o hacerlo correr en algún sitio. U. t. c. prnl."
"ventosear","1. intr. Expeler del cuerpo los gases intestinales. U. t. c. prnl."
"versificar","1. tr. Poner en verso."
"verter","1. tr. Derramar o vaciar líquidos, y también cosas menudas, como sal, harina, etc. U. t. c. prnl."
"vestir","1. tr. Cubrir o adornar el cuerpo con ropa. U. t. c. prnl."
"vetar","1. tr. Poner el veto a una proposición, acuerdo o medida."
"viajar","1. intr. Trasladarse de un lugar a otro, generalmente distante, por cualquier medio de locomoción."
"vibrar","1. tr. Dar un movimiento trémulo a la espada, o a otra cosa larga, delgada y elástica."
"viciar","1. tr. Dañar o corromper física o moralmente. U. t. c. prnl."
"vigilar","1. tr. Observar algo o a alguien atenta y cuidadosamente. U. t. c. intr."
"vigorizar","1. tr. Dar vigor a alguien o algo. U. t. c. prnl."
"vilipendiar","1. tr. Despreciar algo o tratar a alguien con vilipendio."
"vincular","1. tr. Atar o fundar algo en otra cosa. Andrés vincula sus esperanzas en el favor del ministro."
"violar","1. m. Sitio plantado de violetas."
"violentar","1. tr. Aplicar medios violentos a cosas o personas para vencer su resistencia."
"virar","1. intr. Mudar de dirección en la marcha de un automóvil u otro vehículo semejante."
"visitar","1. tr. Ir a ver a alguien en el lugar en que se halla."
"vitorear","1. tr. Aplaudir o aclamar con vítores a alguien o algo."
"vituperar","1. tr. Criticar o censurar con dureza algo o a alguien."
"vivificar","1. tr. Dar vida."
"vivir","1. intr. Tener vida."
"vociferar","1. tr. Manifestar ligera y jactanciosamente algo."
"volar","1. intr. Ir o moverse por el aire, sosteniéndose con las alas."
"volcar","1. tr. Torcer o inclinar algo parcial o totalmente, de modo que caiga, generalmente haciendo salir su contenido. Volcó la copa. U. t. c. prnl. Tropezó y la copa se volcó."
"voltear","1. tr. Dar vueltas a alguien o algo."
"volver","1. tr. Dar vuelta o vueltas a algo."
"vomitar","1. tr. Arrojar violentamente por la boca lo contenido en el estómago. U. t. c. intr."
"vulgarizar","1. tr. Hacer vulgar o común algo. U. t. c. prnl."
"yacer","1. intr. Dicho de una persona: Estar echada o tendida."
"yuxtaponer","1. tr. Poner algo junto a otra cosa o inmediata a ella. U. t. c. prnl."
"zaherir","1. tr. Decir o hacer algo a alguien con lo que se sienta humillado o mortificado."
"zambullir","1. tr. Meter debajo del agua con ímpetu o de golpe. U. t. c. prnl."
"zapar","1. intr. Trabajar con la zapa (‖ pala)."
"zarandear","1. tr. zarandar. U. t. c. prnl."
"zigzaguear","1. intr. Serpentear, andar en zigzag."
"zumbar","1. intr. Producir ruido o sonido continuado y bronco, como el que se produce a veces dentro de los mismos oídos."
"zurcir","1. tr. Coser la rotura de una tela, juntando los pedazos con puntadas o pasos ordenados, de modo que la unión resulte disimulada."
"zurrar","1. tr. Curtir y adobar las pieles quitándoles el pelo."
"",""